feature,importance
insertions,0.21156393
change_ratio,0.12843396
author_commit_count,0.1165237
msg_word_count,0.10850861
msg_length,0.053362988
hour,0.050386768
msg_all_caps_ratio,0.04898469
deletions,0.047740865
author_std_changes,0.04301683
total_changes,0.034693066
day_of_week,0.033696685
author_avg_changes,0.032356787
is_weekend,0.029750556
repo_stars,0.027362756
is_night,0.025356881
files_per_change,0.008260959
files_changed,0.0
msg_has_exclamation,0.0
author_avg_files,0.0
author_total_merges,0.0
msg_has_question,0.0
is_merge,0.0
lang_Python,0.0
